Model,Synth_Type,Test Score,Test Score,Test Score,Test Score,Valid Score,Valid Score,Valid Score,Valid Score
,,mean,std,min,max,mean,std,min,max
DT,CTGAN,0.23131455648205201,0.0754276969904802,0.14666786336344573,0.3266657038103117,0.2829939287114155,0.026752253848704683,0.25862049130893056,0.3154528599518206
DT,Gaussian Copula,0.21758498376199958,0.08791852620391045,0.11963479323309846,0.3538945585206847,0.1979646876880361,0.045261935797327756,0.16390567666065414,0.2744896252417877
DT,Normal,0.16204678840358008,0.020913512963665996,0.1383310910674847,0.19058376743070235,0.19098352681144135,0.024006547704723612,0.16185675443138406,0.21050870301704916
DT,TVAE,0.24982597129269707,0.06230470859786416,0.17756280704819158,0.3000716238898673,0.2749681461541481,0.027927461510966298,0.25501968760387383,0.32193392687943234
DT,VectGan,0.2802917060756415,0.0911627266611561,0.1735355524803787,0.38243570548634054,0.2806987134945199,0.023575379931631894,0.2390827222512602,0.295353133836672
LGBM,CTGAN,0.13409353147489916,0.015105951738300632,0.10872952800928357,0.14673812880267242,0.21851741005608633,0.01441170378899357,0.20256994879829046,0.23280386787658336
LGBM,Gaussian Copula,0.12036957001080004,0.014842074132249273,0.10352834230492747,0.14098422348422904,0.12959900084066367,0.0075973477585469604,0.11837924185875695,0.13949545760833573
LGBM,Normal,0.10721329225966533,0.013978092900980281,0.08976631680758294,0.1225345087901761,0.13621617364530905,0.012082892429951886,0.12637358305101637,0.1544885701342423
LGBM,TVAE,0.1472085580567391,0.03566286983959263,0.10922187743321693,0.1976141004766705,0.2028773229751713,0.004992104556151719,0.19541930493579543,0.20649035336509453
LGBM,VectGan,0.14162497024629297,0.03091488806281279,0.11073789393005833,0.17682508332204028,0.2196356656262593,0.00401653304001627,0.21554672942411082,0.22555335415193833
MLR,CTGAN,0.2577262073144844,0.04629399800163633,0.18492819965659088,0.3030118749320352,0.2819216545244683,0.02040525684316476,0.25947653783593533,0.31222596645049605
MLR,Gaussian Copula,0.27188104083997083,0.059300694578248284,0.23463664605404286,0.3764022409364861,0.22832035539851564,0.011044229039546319,0.21136967806649642,0.23943997318213137
MLR,Normal,0.2698631024203296,0.04485302987269532,0.23344738837672446,0.3440616064561777,0.2560553874065707,0.007602466153562236,0.24881753622819186,0.26631421989360926
MLR,TVAE,0.2649881635344503,0.022213104799796525,0.24651351923225479,0.29091153811158454,0.27401710413006786,0.011225791859935578,0.26471577765939824,0.292260306390396
MLR,VectGan,0.26718210486628297,0.015225591091108402,0.24967104361978323,0.2891914375941739,0.2635085013665658,0.008039886583742491,0.25439619748590087,0.2724878293137154
NGB,CTGAN,0.1321916393985706,0.02324710488727527,0.11418804991936514,0.17221751113408112,0.20856524745244717,0.008422796462956506,0.20023567614174564,0.2219906858425146
NGB,Gaussian Copula,0.13092805796245072,0.015382495258610617,0.11895082426491016,0.15195345930604848,0.13663730040071825,0.007551659116672208,0.13076437369249566,0.14765489600606355
NGB,Normal,0.12063275569722649,0.015194184544971914,0.09821563231325073,0.13492891736158782,0.13859731619149784,0.008720526160190437,0.12661304445982297,0.1491192688112722
NGB,TVAE,0.14713831500846733,0.025893422819586065,0.11026315350514748,0.17328448189963072,0.20595136417823506,0.010341490458823953,0.193820395252571,0.21659634502624972
NGB,VectGan,0.16821843275672338,0.027326884807680574,0.12997904946775943,0.19841839444637485,0.22699376148659414,0.015187412329424506,0.21431392802762125,0.25028634749293927
PLS,CTGAN,0.27299715810472447,0.03665391261620069,0.22551683965244781,0.3236135877091176,0.26458583365181887,0.012378005798339965,0.25062956753484816,0.28263556549367774
PLS,Gaussian Copula,0.2840132657842548,0.056258014175439186,0.25185497497443843,0.3834382558870273,0.23043830278399638,0.014809798486539762,0.20596452823702913,0.2434546898612643
PLS,Normal,0.2618713357212024,0.051278464330521335,0.22169748245498136,0.34933697609380177,0.25609493733002836,0.0053440155069067975,0.2485339011927517,0.2625591472516525
PLS,TVAE,0.24507958340190542,0.013372509915673805,0.228677136297745,0.2615888484222294,0.269365491831644,0.008064607233299721,0.26103971989354446,0.2788969719616377
PLS,VectGan,0.2610319764468545,0.028093628365473716,0.22978677265908037,0.29882152498872533,0.25907518269309465,0.00935267930993939,0.24898515632574508,0.2744381123448361
RF,CTGAN,0.15709397432274202,0.030374834667314277,0.12119535539760669,0.20233754394590944,0.22516217676068556,0.010841185978160833,0.2148563576424931,0.2423399251567116
